date,horizon,max_cumulative_underestimate_kWh,total_cumulative_underestimate_kWh,slots,start_slot
2025-08-02,1h,688.9104833333333,9626.745050000001,6,76
2025-08-02,4h,1021.1834833333335,21367.383900000004,24,75
2025-08-03,1h,531.0391166666668,6396.458433333332,6,65
2025-08-03,4h,671.4483166666664,8681.704933333325,24,113
2025-08-04,1h,984.1205833333325,22601.718983333325,6,76
2025-08-04,4h,2283.086533333333,73524.45821666665,24,75
2025-08-05,1h,984.3566999999995,11313.790266666667,6,62
2025-08-05,4h,1590.108833333333,28224.075800000002,24,47
2025-08-06,1h,1069.14465,21441.94308333333,6,85
2025-08-06,4h,3307.7824833333325,70717.46918333333,24,75
2025-08-07,1h,579.8586333333333,7388.395116666667,6,42
2025-08-07,4h,767.7443333333333,11282.898700000009,24,29
2025-08-08,1h,598.8421000000001,6123.31825,6,52
2025-08-08,4h,1011.2668333333337,9011.675266666669,24,35
2025-08-09,1h,1210.321766666667,24890.770600000003,6,75
2025-08-09,4h,3205.6604333333344,75499.59245000003,24,62
2025-08-10,1h,493.2445333333332,9138.178966666663,6,80
2025-08-10,4h,1051.9572499999995,14986.75675,24,73
2025-08-11,1h,564.6868833333334,9061.0681,6,51
2025-08-11,4h,1063.5986333333344,15664.27865000001,24,37
2025-08-12,1h,1541.6876500000003,28348.94676666667,6,61
2025-08-12,4h,2363.7489500000006,97892.13606666669,24,60
2025-08-13,1h,475.32959999999974,8835.716050000005,6,66
2025-08-13,4h,719.4821500000005,13893.967783333334,24,27
2025-08-14,1h,793.48035,16045.342799999999,6,48
2025-08-14,4h,1249.9583500000003,31133.104133333334,24,32
2025-08-15,1h,478.15063333333313,6197.844066666671,6,88
2025-08-15,4h,283.38798333333307,3985.2823500000036,24,82
2025-08-16,1h,729.1714,11863.2317,6,82
2025-08-16,4h,1306.6319666666666,26295.03793333333,24,64
2025-08-17,1h,945.5999833333331,18296.18243333333,6,50
2025-08-17,4h,2119.215849999999,40389.02104999999,24,36
2025-08-18,1h,1059.0641833333334,16448.694133333334,6,82
2025-08-18,4h,1440.6321166666667,27035.572566666655,24,78
2025-08-19,1h,1009.5307666666662,12174.831483333332,6,66
2025-08-19,4h,849.5597333333346,15673.371966666691,24,66
2025-08-20,1h,1380.3660000000007,38319.5362,6,52
2025-08-20,4h,3770.5949666666666,132666.72228333334,24,41
2025-08-21,1h,460.4020000000001,5717.010399999999,6,78
2025-08-21,4h,419.0141833333334,3321.677883333332,24,74
2025-08-22,1h,596.7511833333331,15717.69766666667,6,94
2025-08-22,4h,1505.5860166666666,41593.469150000004,24,86
2025-08-23,1h,1115.0062666666672,20792.562433333333,6,59
2025-08-23,4h,3095.7855499999996,70485.65281666665,24,50
2025-08-24,1h,514.8114499999995,9718.649933333332,6,86
2025-08-24,4h,857.3821666666661,13858.003000000004,24,85
2025-08-25,1h,1827.2330999999995,44984.797433333326,6,69
2025-08-25,4h,5615.698566666667,167250.12951666667,24,58
2025-08-26,1h,244.21129999999994,2815.911133333334,6,46
2025-08-26,4h,29.392033333333735,29.392033333333735,24,35
2025-08-27,1h,1096.2200166666667,18112.7044,6,67
2025-08-27,4h,2037.477766666666,56901.22776666666,24,49
2025-08-28,1h,1791.4805333333334,26947.42386666667,6,61
2025-08-28,4h,4251.243733333334,85983.41686666668,24,55
